truck,distance,lat,lng
Kjellberg'S Carpet Oneuffalo,64.90743181300645,40.3933956,-82.4857181
Wisebuys Stores Incouverneur,139.53958147881394,39.244853,-81.6637765
Ibrahim Chimandalpharetta,194.83162730894207,41.6639383,-83.55521200000001
Macomb Iron Llchesterfield,203.2635212173412,41.49932,-81.6943605
Ricardo Juradoacramento,437.54725499981066,37.8901411,-78.70474010000001
High Pines Farm Llcontello,444.31610219378626,41.8781136,-87.6297982
Martinez Transport Llcdaho Falls,444.31610219378626,41.8781136,-87.6297982
Edmon'S Unique Furniture & Stone Gallery Inc.Os Angeles,469.0376694271014,41.69864159999999,-88.0683955
Paul J Krez Companyorton Grove,523.2089723879643,35.3340108,-81.8651028
Viking Products Of Austin Incustin,535.9736691523223,36.6634467,-87.47739020000002
Jwj Interests Incealy,554.7744672610895,39.1626084,-76.6246886
Jeffrey A Shepardypsum,601.9994190098827,34.7698021,-84.9702228
James Haas Al Haas Shelly Haasairfield,605.7561352319461,39.6001132,-75.94133269999999
Fish-Bones Towingew York,628.5225538583225,42.60111939999999,-89.6384532
Arachus Incashville,652.5910098440002,40.6259316,-75.37045789999999
Robert Robertsonairhope,654.0009998621103,44.51915899999999,-88.019826
Arrow Towing Llcent,700.2639130467479,40.8539879,-74.8290555
Hartford Plastics Incartford,706.7334915724305,34.79981,-87.677251
Jevin Q Watsonillsboro,730.0790152391048,33.4473361,-84.1468616
Como Construction Llcottstown,747.184899256512,41.0381525,-74.2940378
Rubye Hunterincolnton,750.7616150903098,40.6639916,-74.2107006
Gary Lee Wilcoxpencer,834.6826385557711,45.9171763,-89.2442988
Jeffery Allan Luiacine,853.2548373525641,33.2098407,-87.56917349999999
Efrain Morales Diazorwalk,909.7347091115622,37.338658,-92.9071209
Jacques N Faucherochester,1007.3471830053346,39.0277832,-94.6557914
Empire Of Dirt Llcquality,1279.7805286898679,44.7445421,-68.8370436
Sidhu Trucking Incarrisburg,1366.0112940015108,32.58847350000001,-95.20411349999999
Sullivans' Homestead Inclympia,1536.8357010037978,26.3184123,-80.09976569999999
Filippo Lumaroallston,1582.6143084444132,29.6657838,-95.0193728
Allen R Pruittrown City,1582.6143084444132,29.6657838,-95.0193728
Dupree Testing Services Incutchinson,1596.9963884231745,29.7604267,-95.3698028
Peet'S Tree Serviceinterport,1808.6883616178268,29.5521737,-98.269734
Turenne Auto Body Llchorp,1808.6883616178268,29.5521737,-98.269734
Michael J Geenenaukauna,1821.773266718966,33.5778631,-101.8551665
I N H Relocation Services Incoodbridge,1834.1906038389345,29.4241219,-98.49362819999999
Scott Cassidylanchardville,1874.694150787134,39.76161889999999,-104.9622498
Jorge L Denisollywood,2158.0656437542684,38.7422062,-108.0689582
Wayne E Bollinauvoo,2425.4187116353096,41.7693747,-111.8046654
Ramiro Castilloucson,2428.146857033731,41.7369803,-111.8338359
Vincent Rodriguezansas City,2573.794288339646,35.1982836,-111.651302
Dawna L Zanderppleton,2986.09702204731,46.1998568,-119.0130618
John Bianchiake Havasu City,3231.4285278923135,47.48287759999999,-122.2170661
Loren Martinrand Junction,3306.3921022052086,45.5198364,-123.1106631
Beyond Landscape & Design Llcilsonville,3372.7808382433395,37.5482697,-121.9885719
