truck,distance,lat,lng
Viking Products Of Austin Incustin,189.89691067032257,36.6634467,-87.47739020000002
Hartford Plastics Incartford,287.9114022038136,34.79981,-87.677251
Efrain Morales Diazorwalk,299.4399080011275,37.338658,-92.9071209
Jeffery Allan Luiacine,446.5285835955092,33.2098407,-87.56917349999999
Jeffrey A Shepardypsum,478.20725727805626,34.7698021,-84.9702228
Jacques N Faucherochester,505.2599565987939,39.0277832,-94.6557914
Edmon'S Unique Furniture & Stone Gallery Inc.Os Angeles,551.1239820212844,41.69864159999999,-88.0683955
High Pines Farm Llcontello,580.2866326868723,41.8781136,-87.6297982
Martinez Transport Llcdaho Falls,580.2866326868723,41.8781136,-87.6297982
Jevin Q Watsonillsboro,624.6982482520997,33.4473361,-84.1468616
Fish-Bones Towingew York,635.593772321338,42.60111939999999,-89.6384532
Sidhu Trucking Incarrisburg,700.3607914988713,32.58847350000001,-95.20411349999999
Paul J Krez Companyorton Grove,715.9135130779033,35.3340108,-81.8651028
Kjellberg'S Carpet Oneuffalo,730.9245108312708,40.3933956,-82.4857181
Wisebuys Stores Incouverneur,743.107908293023,39.244853,-81.6637765
Ibrahim Chimandalpharetta,743.5811091532386,41.6639383,-83.55521200000001
Macomb Iron Llchesterfield,852.8814335941785,41.49932,-81.6943605
Robert Robertsonairhope,858.9162191768435,44.51915899999999,-88.019826
Filippo Lumaroallston,945.9698847735177,29.6657838,-95.0193728
Allen R Pruittrown City,945.9698847735177,29.6657838,-95.0193728
Dupree Testing Services Incutchinson,954.9270919778511,29.7604267,-95.3698028
Ricardo Juradoacramento,969.8128690662148,37.8901411,-78.70474010000001
Gary Lee Wilcoxpencer,1004.4584929103918,45.9171763,-89.2442988
Peet'S Tree Serviceinterport,1145.6883617654391,29.5521737,-98.269734
Turenne Auto Body Llchorp,1145.6883617654391,29.5521737,-98.269734
Jwj Interests Incealy,1165.107443020393,39.1626084,-76.6246886
I N H Relocation Services Incoodbridge,1170.8424471528629,29.4241219,-98.49362819999999
Michael J Geenenaukauna,1174.1550487375473,33.5778631,-101.8551665
James Haas Al Haas Shelly Haasairfield,1231.0040833203188,39.6001132,-75.94133269999999
Arachus Incashville,1302.3044444945037,40.6259316,-75.37045789999999
Arrow Towing Llcent,1352.8406688580353,40.8539879,-74.8290555
Scott Cassidylanchardville,1380.194368830474,39.76161889999999,-104.9622498
Rubye Hunterincolnton,1398.748395026451,40.6639916,-74.2107006
Como Construction Llcottstown,1401.5427613834877,41.0381525,-74.2940378
Sullivans' Homestead Inclympia,1475.1190974018675,26.3184123,-80.09976569999999
Jorge L Denisollywood,1637.7033001203297,38.7422062,-108.0689582
Empire Of Dirt Llcquality,1949.0723774759608,44.7445421,-68.8370436
Wayne E Bollinauvoo,1984.927846959452,41.7693747,-111.8046654
Ramiro Castilloucson,1986.7973688628613,41.7369803,-111.8338359
Vincent Rodriguezansas City,1992.6256797405722,35.1982836,-111.651302
Dawna L Zanderppleton,2645.325302403734,46.1998568,-119.0130618
Beyond Landscape & Design Llcilsonville,2862.636535144056,37.5482697,-121.9885719
John Bianchiake Havasu City,2914.2981161992984,47.48287759999999,-122.2170661
Loren Martinrand Junction,2946.1381037389106,45.5198364,-123.1106631
