truck,distance,lat,lng
Fish-Bones Towingew York,259.7066552526807,42.60111939999999,-89.6384532
Edmon'S Unique Furniture & Stone Gallery Inc.Os Angeles,297.14760473533477,41.69864159999999,-88.0683955
Jacques N Faucherochester,336.7896941359485,39.0277832,-94.6557914
High Pines Farm Llcontello,338.4760814847041,41.8781136,-87.6297982
Martinez Transport Llcdaho Falls,338.4760814847041,41.8781136,-87.6297982
Efrain Morales Diazorwalk,390.53222422639755,37.338658,-92.9071209
Robert Robertsonairhope,509.63737581005483,44.51915899999999,-88.019826
Viking Products Of Austin Incustin,552.5400093233749,36.6634467,-87.47739020000002
Gary Lee Wilcoxpencer,610.9278922193461,45.9171763,-89.2442988
Ibrahim Chimandalpharetta,661.1877467846313,41.6639383,-83.55521200000001
Hartford Plastics Incartford,722.0079736661144,34.79981,-87.677251
Kjellberg'S Carpet Oneuffalo,748.4162827860724,40.3933956,-82.4857181
Macomb Iron Llchesterfield,813.9182276743796,41.49932,-81.6943605
Wisebuys Stores Incouverneur,838.6222074852619,39.244853,-81.6637765
Jeffrey A Shepardypsum,857.427742885382,34.7698021,-84.9702228
Jeffery Allan Luiacine,888.2518408381914,33.2098407,-87.56917349999999
Sidhu Trucking Incarrisburg,957.5137558018956,32.58847350000001,-95.20411349999999
Paul J Krez Companyorton Grove,1016.2285455028735,35.3340108,-81.8651028
Jevin Q Watsonillsboro,1019.9838826559914,33.4473361,-84.1468616
Ricardo Juradoacramento,1128.8845067387497,37.8901411,-78.70474010000001
Scott Cassidylanchardville,1164.9098141913744,39.76161889999999,-104.9622498
Michael J Geenenaukauna,1219.2095726232844,33.5778631,-101.8551665
Dupree Testing Services Incutchinson,1260.7747178816292,29.7604267,-95.3698028
Filippo Lumaroallston,1262.0235610792313,29.6657838,-95.0193728
Allen R Pruittrown City,1262.0235610792313,29.6657838,-95.0193728
Jwj Interests Incealy,1265.3231507885032,39.1626084,-76.6246886
James Haas Al Haas Shelly Haasairfield,1313.8633648732507,39.6001132,-75.94133269999999
Arachus Incashville,1347.1217619762483,40.6259316,-75.37045789999999
Peet'S Tree Serviceinterport,1381.7976990228835,29.5521737,-98.269734
Turenne Auto Body Llchorp,1381.7976990228835,29.5521737,-98.269734
Arrow Towing Llcent,1390.5711275097872,40.8539879,-74.8290555
I N H Relocation Services Incoodbridge,1403.9724799038966,29.4241219,-98.49362819999999
Como Construction Llcottstown,1434.0505065775753,41.0381525,-74.2940378
Rubye Hunterincolnton,1444.4019498774167,40.6639916,-74.2107006
Jorge L Denisollywood,1450.1821594428322,38.7422062,-108.0689582
Wayne E Bollinauvoo,1719.3014506708298,41.7693747,-111.8046654
Ramiro Castilloucson,1721.89371699566,41.7369803,-111.8338359
Vincent Rodriguezansas City,1882.014939175017,35.1982836,-111.651302
Empire Of Dirt Llcquality,1891.2919381749164,44.7445421,-68.8370436
Sullivans' Homestead Inclympia,1895.289579942703,26.3184123,-80.09976569999999
Dawna L Zanderppleton,2313.891885325748,46.1998568,-119.0130618
John Bianchiake Havasu City,2571.200388519646,47.48287759999999,-122.2170661
Loren Martinrand Junction,2627.7144016863717,45.5198364,-123.1106631
Beyond Landscape & Design Llcilsonville,2662.1581296295803,37.5482697,-121.9885719
