truck,distance,lat,lng
Ricardo Juradoacramento,172.6894216535507,37.8901411,-78.70474010000001
Paul J Krez Companyorton Grove,238.41630634408565,35.3340108,-81.8651028
Wisebuys Stores Incouverneur,259.2223182721371,39.244853,-81.6637765
Jwj Interests Incealy,401.123640520329,39.1626084,-76.6246886
Kjellberg'S Carpet Oneuffalo,404.73282540168026,40.3933956,-82.4857181
James Haas Al Haas Shelly Haasairfield,477.01319572667546,39.6001132,-75.94133269999999
Jeffrey A Shepardypsum,487.68054288223567,34.7698021,-84.9702228
Macomb Iron Llchesterfield,497.5924548546323,41.49932,-81.6943605
Jevin Q Watsonillsboro,531.4373603011258,33.4473361,-84.1468616
Ibrahim Chimandalpharetta,571.6022336443592,41.6639383,-83.55521200000001
Arachus Incashville,584.4340308086803,40.6259316,-75.37045789999999
Viking Products Of Austin Incustin,631.9994451905336,36.6634467,-87.47739020000002
Arrow Towing Llcent,635.8516015533567,40.8539879,-74.8290555
Rubye Hunterincolnton,665.340273329277,40.6639916,-74.2107006
Como Construction Llcottstown,683.9302657998974,41.0381525,-74.2940378
Hartford Plastics Incartford,704.5130999486269,34.79981,-87.677251
Jeffery Allan Luiacine,783.5975544539509,33.2098407,-87.56917349999999
High Pines Farm Llcontello,814.0923834115819,41.8781136,-87.6297982
Martinez Transport Llcdaho Falls,814.0923834115819,41.8781136,-87.6297982
Edmon'S Unique Furniture & Stone Gallery Inc.Os Angeles,831.5288347794519,41.69864159999999,-88.0683955
Fish-Bones Towingew York,995.3013656534418,42.60111939999999,-89.6384532
Robert Robertsonairhope,1040.895885929124,44.51915899999999,-88.019826
Efrain Morales Diazorwalk,1108.4952318029896,37.338658,-92.9071209
Sullivans' Homestead Inclympia,1199.1659237955541,26.3184123,-80.09976569999999
Gary Lee Wilcoxpencer,1221.5857325471734,45.9171763,-89.2442988
Jacques N Faucherochester,1266.250868128254,39.0277832,-94.6557914
Empire Of Dirt Llcquality,1287.9622038526254,44.7445421,-68.8370436
Sidhu Trucking Incarrisburg,1441.7231847657183,32.58847350000001,-95.20411349999999
Filippo Lumaroallston,1588.639907393136,29.6657838,-95.0193728
Allen R Pruittrown City,1588.639907393136,29.6657838,-95.0193728
Dupree Testing Services Incutchinson,1610.4831784954126,29.7604267,-95.3698028
Peet'S Tree Serviceinterport,1858.7171851529533,29.5521737,-98.269734
Turenne Auto Body Llchorp,1858.7171851529533,29.5521737,-98.269734
I N H Relocation Services Incoodbridge,1884.648101437697,29.4241219,-98.49362819999999
Michael J Geenenaukauna,1984.2183501663585,33.5778631,-101.8551665
Scott Cassidylanchardville,2156.3848525334156,39.76161889999999,-104.9622498
Jorge L Denisollywood,2428.8851131783326,38.7422062,-108.0689582
Wayne E Bollinauvoo,2735.209457456523,41.7693747,-111.8046654
Ramiro Castilloucson,2737.6139235262463,41.7369803,-111.8338359
Vincent Rodriguezansas City,2806.5765048492726,35.1982836,-111.651302
Dawna L Zanderppleton,3332.064432479642,46.1998568,-119.0130618
John Bianchiake Havasu City,3584.508061360171,47.48287759999999,-122.2170661
Loren Martinrand Junction,3648.156111009889,45.5198364,-123.1106631
Beyond Landscape & Design Llcilsonville,3654.159022383488,37.5482697,-121.9885719
